,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"Leave a Light On","Tom Walker",29522,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
145,"Ocean (feat. Khalid)","Martin Garrix",29409,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
146,Réseaux,Niska,29351,https://open.spotify.com/track/0HKNlsZ0zFlSqUqWj1nVVG
147,International,L'Algérino,28998,https://open.spotify.com/track/2ep70tBFaPydsmQbAcWsIA
148,"Elle m'a dit (feat. Haristone)","Still Fresh",28924,https://open.spotify.com/track/3QYrzT43AwLCiah1df6new
149,"A chaque jour...",Dosseh,28905,https://open.spotify.com/track/0Vi7aOPdOU683VUfZ79c0d
150,"rockstar (feat. 21 Savage)","Post Malone",28809,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
151,"Mwaka Moon",Kalash,28749,https://open.spotify.com/track/7LDq2cE0TQV66BXorbV8FD
152,Reine,Dadju,28187,https://open.spotify.com/track/1bxP4M9ICllcg7mel8kH89
153,Kid,"Eddy de Pretto",28143,https://open.spotify.com/track/1EIhcoMZ3See5L28kNvuFe
154,Adios,L'Algérino,27925,https://open.spotify.com/track/5SUDrRmsOCBVIJn6c9txpk
155,Bodyguard,MHD,27885,https://open.spotify.com/track/4xlNVVbZUqMMZPKM2ZLI7A
156,"Body (feat. brando)","Loud Luxury",27864,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
157,"Pourquoi tu forces","DJ Erise",27725,https://open.spotify.com/track/1lgunmmIvvsY7mZeN1SL3j
158,"Un peu de rêve (en duo avec Claudio Capéo)",Vitaa,27679,https://open.spotify.com/track/0kiNe5qx5O3CccrvsYL4Y6
159,J’encaisse,"Koba LaD",27452,https://open.spotify.com/track/1TQs2VIp8zIPPFVWsy9vnZ
160,"Introduction (Damso / Lithopédion)",Damso,27067,https://open.spotify.com/track/0JOMo3ok3MKpwfKgpwzHdR
161,Friday,Booba,27053,https://open.spotify.com/track/4ruXQncBxzZmUGSi270LGT
162,Sommet,Dosseh,26860,https://open.spotify.com/track/3vWkaNkawecAnSKaB1Rx4z
163,"La rue - Radio Edit",Vegedream,26752,https://open.spotify.com/track/7osZllUUYLWzf8WSJDXJqZ
164,J'souris,"Djadja & Dinaz",26634,https://open.spotify.com/track/7rQSQZMVwyobK4icEUrS6d
165,Mobali,Siboy,26480,https://open.spotify.com/track/1qZ2qGQoyrbyD6H33a1Lyi
166,"High On Life (feat. Bonn)","Martin Garrix",26463,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
167,"Θ. Macarena",Damso,26405,https://open.spotify.com/track/2ewjMyCbNv2X1dB2qIDCwD
168,"Nice For What",Drake,26319,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
169,"Même issue",Damso,26207,https://open.spotify.com/track/1HDv4ptf1kBNMzqmlL3JcI
170,"Tu le C",Lorenzo,26099,https://open.spotify.com/track/0js2ot9kRfw2VVQpeXK2Rt
171,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,26057,https://open.spotify.com/track/1A8j067qyiNwQnZT0bzUpZ
172,Coffrer,Ninho,25913,https://open.spotify.com/track/6PvouhcF7NDx18gVoEzs14
173,"Good Vibes (feat. Camden Cox)",Basada,25681,https://open.spotify.com/track/26eAvxayGhd7vlrpGRo8SL
174,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,25657,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
175,"Look At Me!",XXXTENTACION,25533,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
176,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,25505,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
177,"Festival de rêves",Damso,25204,https://open.spotify.com/track/3i83LMUDd2hMIBzKDPuMrq
178,"Get Up (feat. Léa Paci) - French Edit","Diva Faune",25084,https://open.spotify.com/track/6Bw6NXAODvyJiNraHlG91Z
179,Clandestino,Shakira,24985,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
180,"Bling Bling",Kaaris,24849,https://open.spotify.com/track/0tTO8sPwWzlEh2CzUMFZE2
181,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,24446,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
182,"La pluie (feat. Stromae)",Orelsan,24413,https://open.spotify.com/track/4cYFep5SECqb4EsSkF82e0
183,MMM,Naza,24374,https://open.spotify.com/track/0Jl9rd0LX2xrZFPEpRYWAT
184,"Sous contrôle",Dadju,24186,https://open.spotify.com/track/40gyeYU1e0NCe12fQn4ak1
185,Bené,PNL,24096,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
186,Naha,PNL,24086,https://open.spotify.com/track/0lkQfsTMmtDA37tjjew9n0
187,"The Middle",Zedd,24076,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
188,Shotgun,"George Ezra",24071,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
189,"Taking A Walk","Trippie Redd",23965,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
190,"Pim pom",Jul,23920,https://open.spotify.com/track/6OZ0yjdc8QQPxnQ2T6lGlg
191,"Inspi d'ailleurs",Jul,23913,https://open.spotify.com/track/4217wwRGc94jTdBATJGZYf
192,"Ça va aller","La Synesia",23910,https://open.spotify.com/track/02PBAJJd2EPetkC3fbF3uv
193,"I'm Yours","Jason Mraz",23886,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
194,Mytho,Landy,23869,https://open.spotify.com/track/64J2ny76viuofKAlB8clda
195,Représenter,"Djadja & Dinaz",23746,https://open.spotify.com/track/68WBxpwlYIIZ8CAfdwRoBW
196,Michto,"DJ Kayz",23673,https://open.spotify.com/track/47V9WTw9aVHgGXi4wG1JXf
197,"Coup de genoux",Jul,23600,https://open.spotify.com/track/6csqzTT1S4WMbqUuIoBMKg
198,SWISH,Tyga,23574,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
199,"Mon kiki",Naza,23208,https://open.spotify.com/track/0wSze2iSowjbw8gZfB6JBu
200,"Feel It Still","Portugal. The Man",23190,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
