,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
138,Traicionera,"Sebastian Yatra",2813,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
139,"Como Mirarte","Sebastian Yatra",2808,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
140,"Felices los 4",Maluma,2806,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
141,"Sé Que Te Duele","Alejandro Fernandez",2802,https://open.spotify.com/track/1OJkKHmXsZVKtWlECdpDAe
142,"La Cintura","Alvaro Soler",2790,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
143,Disfruto,"Carla Morrison",2776,https://open.spotify.com/track/0zTSmiDzVkIPUPjsHcUWpe
144,Thunder,"Imagine Dragons",2773,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
145,"El Clavo","Prince Royce",2763,https://open.spotify.com/track/0LKErfBZ5FbBiLB4OcZRbL
146,"Corazon de Acero","Yiyo Sarante",2744,https://open.spotify.com/track/4dLBiOu6BXGaEL8ByICR6Q
147,"A Ella","Karol G",2738,https://open.spotify.com/track/1pkMzGqBBS10nDiiYrNGGJ
148,"EL BAÑO","Enrique Iglesias",2720,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
149,Havana,"Camila Cabello",2702,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
150,Original,Arcangel,2677,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
151,"Como Tú","Luciano Pereyra",2658,https://open.spotify.com/track/1Zv7PhLP7ohXZ2rIrsnT3R
152,"The Scientist",Coldplay,2639,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
153,"Creo en Ti",Reik,2596,https://open.spotify.com/track/0xXhgLXfEHnWJHVgRvFvdn
154,Rise,"Jonas Blue",2572,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
155,"rockstar (feat. 21 Savage)","Post Malone",2567,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
156,"Aprender A Quererte",Morat,2554,https://open.spotify.com/track/3zNcn4BaVfKORyx3uDfruW
