,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,"Chapeau (feat. Frah Quintale)","Carl Brave",28135,https://open.spotify.com/track/4qB5WfP7AzwPzU4OddDm4b
151,"All The Stars (with SZA)","Kendrick Lamar",27919,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
152,"Dall'alba al tramonto","Ermal Meta",27616,https://open.spotify.com/track/7tyNXQ6EWa6H97unOMV9pf
153,"XO TOUR Llif3","Lil Uzi Vert",27261,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
154,"Sogni appesi",Ultimo,27103,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ
155,"Fashion Week Rmx",Tedua,26831,https://open.spotify.com/track/4yMow6rhmlVk0RQrQiarF0
156,"Look At Me!",XXXTENTACION,26761,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
157,Missili,"Frah Quintale",26613,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
158,"Gli occhi della tigre",Nayt,26527,https://open.spotify.com/track/0eczHniJguffShMNltOqMo
159,"Lungomare Latino (feat. Willy William)","Gue Pequeno",26423,https://open.spotify.com/track/1EAVKixhDeqqLNtwnpwx1B
160,FRIENDS,Marshmello,26265,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
161,"Lario (feat. Fabri Fibra) - RMX",Lazza,26255,https://open.spotify.com/track/2fCrGBbflxxcSXO6HUhJcS
162,"Business Class (feat. Rkomi)",Marracash,26253,https://open.spotify.com/track/6bArBYlG50C7iN1owUpKeI
163,"No Es Justo","J Balvin",26173,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
164,Chic,Izi,26104,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
165,"La stessa","Alessandra Amoroso",26056,https://open.spotify.com/track/0x7pHyBX8Ph2j4knBp1he9
166,"Everybody Dies In Their Nightmares",XXXTENTACION,25944,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
167,Unica,Ozuna,25841,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
168,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",25482,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
169,"Camel Blu (feat. Giorgio Poi)","Carl Brave",25246,https://open.spotify.com/track/0YdCTQIqZVUUfmqjaM9qvR
170,20,"Capo Plaza",25139,https://open.spotify.com/track/6ZNd7RN3GohngyFPt7p6LO
171,Occupato,DrefGold,25024,https://open.spotify.com/track/48vz7OEUgIXu9KAJ9VDWcn
172,"Mala Mía",Maluma,25004,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
173,"More Than You Know","Axwell /\ Ingrosso",24902,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
174,"Body (feat. brando)","Loud Luxury",24737,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
175,Orgasmo,"Calcutta ",24635,https://open.spotify.com/track/3qB6tYZqtTPvUX9oACaN98
176,Oroscopo,"Calcutta ",24631,https://open.spotify.com/track/7yJZlPui7PYh2L9UXmtQWc
177,"La stella più fragile dell'universo",Ultimo,24608,https://open.spotify.com/track/3iHqUSg0LBRxAF5CzjBK9y
178,"Milano Bachata",Rkomi,24605,https://open.spotify.com/track/4npeg094qxxH7Fp2aoi04O
179,"Mi Parli Piano",Emma,24550,https://open.spotify.com/track/6XRe4ft04Skbpbz3TwsenD
180,Uber,"Sfera Ebbasta",24309,https://open.spotify.com/track/4oZhBLWGhtIyBckervj3sb
181,"Una grande festa","Luca Carboni",24302,https://open.spotify.com/track/1Dj8LrVW2gNNZeO3tEFttY
182,Perfect,"Ed Sheeran",24279,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
183,"EL BAÑO","Enrique Iglesias",24258,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
184,Ossigeno,Rkomi,24222,https://open.spotify.com/track/3XN4GUi9JaQvPdXJNAAo2C
185,"I'm Yours","Jason Mraz",24184,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
186,Magicabula,"JUNIOR CALLY",24183,https://open.spotify.com/track/4jPO7yrsX7sHXtME7cQ5M3
187,"TU T'E SCURDAT' 'E ME",Liberato,24162,https://open.spotify.com/track/0fGdUrvZQW1Iw8uH8nCi1p
188,"I Believe - Radio Edit","Bob Sinclar",24132,https://open.spotify.com/track/3eyUaiPpgMSzZ16ak4wTDp
189,"La legge del più forte",Tedua,24087,https://open.spotify.com/track/1fHP9qfz4v4df0XiAppzmf
190,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",24083,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
191,Nonstop,Drake,23899,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
192,"Una Vita In Vacanza","Lo Stato Sociale",23691,https://open.spotify.com/track/6134tdWf6qjAGgQs1xJRyA
193,Linda,"Emis Killa",23437,https://open.spotify.com/track/7hH6PsrlKQdNlvESUYKz79
194,"Je Ce Credevo",Luche,23363,https://open.spotify.com/track/3BSGyUVqfqCnulMIAOTjqs
195,"Un giorno in più",Irama,23138,https://open.spotify.com/track/4G6hlJ3RnrqyBfq3ZUX4Mq
196,Havana,"Camila Cabello",23039,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
197,"Ocean (feat. Khalid)","Martin Garrix",22925,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
198,"Happy Now",Zedd,22863,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
199,"No Roots","Alice Merton",22805,https://open.spotify.com/track/7anBA0IdgFaN3Pbyk2tog0
200,Star,Luche,22660,https://open.spotify.com/track/2Cg2JWucAfemcFTvWoErMd
