,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"Young Dumb & Broke",Khalid,4822,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
160,"Dance To This (feat. Ariana Grande)","Troye Sivan",4805,https://open.spotify.com/track/1NbGcdgwRHZ5rbPIT9hdR3
161,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,4803,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
162,"Let Her Go",Passenger,4803,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
163,"This Morning","Picture This",4786,https://open.spotify.com/track/3phOtFs7faVgUInMMaJ3RD
164,"I Wanna Know (feat. Bea Miller)",NOTD,4781,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
165,"Despacito - Remix","Luis Fonsi",4770,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
166,"You Make My Dreams - Remastered","Daryl Hall & John Oates",4751,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
167,"Summertime Magic","Childish Gambino",4725,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
168,"Taking A Walk","Trippie Redd",4716,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
169,Friends,RAYE,4715,https://open.spotify.com/track/34KTVmypyKLAFJc8CpfI5P
170,"XO TOUR Llif3","Lil Uzi Vert",4704,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
171,"Take On Me",a-ha,4693,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
172,"Symphony (feat. Zara Larsson)","Clean Bandit",4688,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
173,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",4687,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
174,"Don't Stop Believin'",Journey,4675,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
175,"Let You Down",NF,4662,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
176,"Knowing Me, Knowing You","Jeremy Irvine",4650,https://open.spotify.com/track/7jicciytVTNBXYrIXHs3Hv
177,Home,"Edward Sharpe & The Magnetic Zeros",4630,https://open.spotify.com/track/7w5cxTEzp1rfV3KCy0Bd5N
178,"Ganja Burns","Nicki Minaj",4605,https://open.spotify.com/track/3LHYmz86DxGInsRp3wiiW5
179,Anywhere,"Rita Ora",4595,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
180,Iris,"The Goo Goo Dolls",4577,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
181,"Addicted to You","Picture This",4577,https://open.spotify.com/track/1snx5tOQTxN49AyEqMYopU
182,"Dreams - 2004 Remastered Edition","Fleetwood Mac",4545,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
183,"I've Been Waiting For You","Amanda Seyfried",4544,https://open.spotify.com/track/7C3xydn7tJZLCSBcV2ZFYe
184,"Tie Me Down (with Elley Duhé)",Gryffin,4541,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
185,CAROUSEL,"Travis Scott",4531,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
186,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,4500,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
187,"Never Change","Picture This",4488,https://open.spotify.com/track/52GlC3zkLC14J0SgsF8iCs
188,"Candy Paint","Post Malone",4488,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
189,OTW,Khalid,4488,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
190,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,4475,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
191,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",4466,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
192,"STOP TRYING TO BE GOD","Travis Scott",4465,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
193,"All Mine","Kanye West",4463,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
194,goosebumps,"Travis Scott",4459,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
195,"Hold My Girl","George Ezra",4453,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu
196,Chun-Li,"Nicki Minaj",4453,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
197,"Never Be the Same","Camila Cabello",4444,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
198,YOSEMITE,"Travis Scott",4398,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
199,"You've Got The Love","Florence + The Machine",4396,https://open.spotify.com/track/6u9RqxALwkjJ1ukB1y8vuP
200,"The Name Of The Game","Lily James",4393,https://open.spotify.com/track/021oUsG0NYI7YuJK6c0ecG
