,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"Mad Love","Sean Paul",43767,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
160,Believer,"Imagine Dragons",43741,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
161,"Angriff ist für immer",Kollegah,43610,https://open.spotify.com/track/4KQ6s5ub3TfFbID6TVsRhW
162,"Palmen aus Plastik","Bonez MC",43446,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
163,Perfect,"Ed Sheeran",43393,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
164,28°,JAZN,43214,https://open.spotify.com/track/0Fe7BwS3sV1XwQeR9ij2eJ
165,"Von Party zu Party",SXTN,43073,https://open.spotify.com/track/4h6UIDvGWTYZvu4BLf2GpO
166,Zuhause,"Fynn Kliemann",42876,https://open.spotify.com/track/0aHq4pmQth8Ggj5LyFNBn9
167,"In The End","Linkin Park",42327,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
168,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM","Jason Derulo",42290,https://open.spotify.com/track/7wD6iRghe6SnKHkvHqpnC5
169,"lovely (with Khalid)","Billie Eilish",42266,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
170,"Der letzte Krieg",Kollegah,42160,https://open.spotify.com/track/79dhp6g8Lm1AzkWTOv3L31
171,"BUTTERFLY EFFECT","Travis Scott",41992,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
172,"Thunderclouds with Sia, Diplo & Labrinth",Sia,41982,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
173,"Über Nacht",Gzuz,41963,https://open.spotify.com/track/6ciUAqm3B0sJU57CJIAOby
174,"Let You Go",Nightcall,41888,https://open.spotify.com/track/3MdXljQymY43YwHw1N0lOd
175,Paradise,"George Ezra",41852,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
176,"Bugatti Veyron",Kurdo,41681,https://open.spotify.com/track/47mf0FjXwyRyx3VxgVt29z
177,Dura,"Daddy Yankee",41462,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
178,"Mwaka Moon - Remix",Kalash,41257,https://open.spotify.com/track/5QONeRJGHsyLwloZIUYyUE
179,"Diarabi - Remix",Kaaris,41180,https://open.spotify.com/track/318Mex1HODCV2OS1zrP5jl
180,Thunder,"Imagine Dragons",40527,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
181,"Gotham City","RAF Camora",40506,https://open.spotify.com/track/2axf5shPhjS8qdaGr5MWaS
182,"Bon Voyage","Miami Yacine",40502,https://open.spotify.com/track/1VfSu8qtTf5PMi3d8XVZGj
183,"Kein Engel",Snipe,40455,https://open.spotify.com/track/0N2sKtosAgY8BJvlflNaL0
184,Motorola,Fard,40008,https://open.spotify.com/track/6hw93MqbqYrOhfhXct7n81
185,Senorita,"Kay One",39977,https://open.spotify.com/track/5OHOykHs3Ct2pgbqod8uMD
186,Leiser,LEA,39909,https://open.spotify.com/track/4k5ripwnTRXiOzXUEGhXSz
187,"Netflix & Chill","Kay One",39744,https://open.spotify.com/track/7n3TVLhIYltUm7uzzy6xFK
188,"Barbie Dreams","Nicki Minaj",39732,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
